Total: 364
Published: 0
Pending: 0
Other statuses: 364

Other statuses:
  Semana 29, Dia 6, status: aprovado, id: a753ecfb-85af-4a64-8eb5-94c39e881869
  Semana 31, Dia 2, status: aprovado, id: 4c45558d-52af-4f6c-a245-6c7f93f30a6e
  Semana 29, Dia 7, status: aprovado, id: 0edd92f2-e022-423c-ad84-0b29d0ffe1aa
  Semana 33, Dia 5, status: aprovado, id: e7c9a9e2-eaee-4fcb-8031-e595b0f1f03e
  Semana 31, Dia 3, status: aprovado, id: 2db6ded3-e34d-424b-bc84-eec74694d023
  Semana 33, Dia 6, status: aprovado, id: c77e153d-5d8c-461c-8fd5-2ccfe5d996f7
  Semana 31, Dia 4, status: aprovado, id: 1c9b52b1-d581-4d51-9f3d-0b2a9e250eaa
  Semana 34, Dia 1, status: aprovado, id: a7626a2c-b128-4916-8ca9-32a9aad137df
  Semana 31, Dia 6, status: aprovado, id: f850ccbe-b74e-4708-8bc1-42f3926c9edc
  Semana 31, Dia 7, status: aprovado, id: 9803079b-8e55-4e9d-802c-29ff65cc6a28
  Semana 34, Dia 2, status: aprovado, id: d762bde9-4bfe-4a54-bfce-b795dd173976
  Semana 32, Dia 1, status: aprovado, id: 643d7896-033e-429f-9a7b-3572ba22f9f9
  Semana 34, Dia 3, status: aprovado, id: b1bbd9cf-df68-45fe-aef3-9d1767b896e4
  Semana 34, Dia 4, status: aprovado, id: da09261d-5b4e-4cf4-a052-3a8d8729d1c4
  Semana 26, Dia 1, status: aprovado, id: 89e6d4a9-1146-41c3-86b6-f308d03d1a0b
  Semana 39, Dia 2, status: aprovado, id: e0a4d2ae-c766-4b15-be68-1a44359935a1
  Semana 40, Dia 3, status: aprovado, id: b109b8e1-db58-47c9-ab58-d913c11294e5
  Semana 49, Dia 5, status: aprovado, id: f309ff34-fa49-465c-ba03-044edf849260
  Semana 37, Dia 1, status: aprovado, id: 5d5a4e31-0370-47ee-be35-e717f0343a6f
  Semana 36, Dia 4, status: aprovado, id: bddcb993-b232-482f-8d06-d418b380a142
  Semana 39, Dia 4, status: aprovado, id: 6c305b8d-d427-4a71-9640-2a1d26d1b128
  Semana 36, Dia 6, status: aprovado, id: 0c7a90b0-f813-4251-98bc-24d2fe674303
  Semana 36, Dia 7, status: aprovado, id: 0e1db4e6-e8f9-4e4e-acdf-fa175fbfa96b
  Semana 37, Dia 2, status: aprovado, id: c1393cec-2f5d-46af-8ef6-6a6226b14d29
  Semana 34, Dia 6, status: aprovado, id: a9976794-7195-480c-aa64-14da73ebf594
  Semana 37, Dia 4, status: aprovado, id: 8cb6b989-e638-46ee-b191-019360d63385
  Semana 38, Dia 2, status: aprovado, id: 525ee5fc-fb6a-42a2-a6f4-430464e228c0
  Semana 34, Dia 7, status: aprovado, id: e50a68af-58f8-4901-bf30-33c797d39ba9
  Semana 37, Dia 5, status: aprovado, id: aab006cb-f8d3-422d-957e-c93626e65fb1
  Semana 35, Dia 1, status: aprovado, id: 2c7068db-5af7-400d-8442-acb029b8a48c
  Semana 39, Dia 7, status: aprovado, id: d4557f98-592a-4737-90ae-735c3fda692f
  Semana 38, Dia 6, status: aprovado, id: 1b2c35f6-8e8d-4008-b8f7-bef49d4d5423
  Semana 37, Dia 6, status: aprovado, id: 91a55d63-2b7e-436d-a3fe-b0c060502992
  Semana 35, Dia 3, status: aprovado, id: aabe8406-00df-4938-bc0b-1ec41cd54b07
